"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HATSUN","EQ","14-Oct-2022","        996.15","       1004.00","       1018.00","        995.00","        995.00","        995.85","       1003.80","      10106","            10144407.95","       1464"
"HATSUN","EQ","17-Oct-2022","        995.85","        994.00","       1031.95","        975.90","       1026.00","       1017.60","       1014.83","      73307","            74393887.25","       4943"
"HATSUN","EQ","18-Oct-2022","       1017.60","       1018.00","       1022.00","        992.50","       1004.00","       1000.00","        999.64","      37062","            37048593.10","       4563"
"HATSUN","EQ","19-Oct-2022","       1000.00","       1005.00","       1022.00","       1001.00","       1005.80","       1008.25","       1012.96","      18333","            18570619.75","       2843"
"HATSUN","EQ","20-Oct-2022","       1008.25","        993.30","       1011.05","        952.70","       1003.00","       1001.65","        996.42","      21759","            21681084.70","       3142"
"HATSUN","EQ","21-Oct-2022","       1001.65","        961.00","        987.70","        960.00","        960.00","        965.30","        970.65","      79616","            77278933.80","       3695"
"HATSUN","EQ","24-Oct-2022","        965.30","        970.40","        986.00","        970.00","        986.00","        982.75","        980.90","       3354","             3289941.45","        415"
"HATSUN","EQ","25-Oct-2022","        982.75","        980.00","        987.90","        939.00","        939.50","        943.95","        957.08","      25176","            24095508.20","       3345"
"HATSUN","EQ","27-Oct-2022","        943.95","        948.70","        960.00","        941.60","        949.50","        945.85","        951.34","      13502","            12844953.40","       2055"
"HATSUN","EQ","28-Oct-2022","        945.85","        945.85","        948.95","        936.50","        939.00","        940.30","        943.74","      22682","            21405951.70","       1931"
"HATSUN","EQ","31-Oct-2022","        940.30","        937.95","        959.90","        937.95","        956.00","        957.65","        955.28","      10394","             9929129.90","       1276"
"HATSUN","EQ","01-Nov-2022","        957.65","        965.00","        974.00","        956.50","        963.55","        962.60","        966.19","      50968","            49244576.00","       4124"
"HATSUN","EQ","02-Nov-2022","        962.60","        967.45","        967.45","        939.00","        944.70","        942.30","        949.56","      20448","            19416633.85","       2186"
"HATSUN","EQ","03-Nov-2022","        942.30","        944.00","        955.00","        944.00","        952.65","        952.40","        950.03","       5681","             5397093.65","       1022"
"HATSUN","EQ","04-Nov-2022","        952.40","        955.00","        958.05","        947.05","        950.55","        955.65","        954.74","       7740","             7389717.65","       1415"
"HATSUN","EQ","07-Nov-2022","        955.65","        954.00","        966.95","        952.10","        961.05","        961.95","        961.26","       8269","             7948690.15","        948"
"HATSUN","EQ","09-Nov-2022","        961.95","        962.25","        969.00","        962.00","        962.00","        963.60","        963.77","       7934","             7646533.20","        856"
"HATSUN","EQ","10-Nov-2022","        963.60","        955.00","        970.00","        950.00","        959.00","        959.20","        957.25","       3871","             3705506.65","        790"
"HATSUN","EQ","11-Nov-2022","        959.20","        961.00","        975.00","        934.00","        934.05","        944.70","        958.32","      22777","            21827758.25","       3016"
"HATSUN","EQ","14-Nov-2022","        944.70","        938.00","        960.00","        930.10","        935.00","        933.00","        941.30","      16889","            15897579.90","       2306"
"HATSUN","EQ","15-Nov-2022","        933.00","        934.30","        941.25","        926.50","        927.80","        929.25","        934.66","       8202","             7666111.30","       1207"
"HATSUN","EQ","16-Nov-2022","        929.25","        929.70","        953.25","        929.70","        941.55","        945.75","        944.16","      12576","            11873737.50","       1473"
"HATSUN","EQ","17-Nov-2022","        945.75","        945.00","        949.90","        930.00","        931.65","        937.45","        940.44","       4732","             4450181.10","        845"
"HATSUN","EQ","18-Nov-2022","        937.45","        935.00","        950.00","        921.40","        924.00","        926.80","        938.81","      10875","            10209612.25","       1580"
"HATSUN","EQ","21-Nov-2022","        926.80","        921.50","        942.80","        920.00","        922.20","        923.45","        931.34","      11572","            10777448.85","       1584"
"HATSUN","EQ","22-Nov-2022","        923.45","        928.10","        931.05","        916.05","        918.00","        923.75","        926.38","       4954","             4589280.70","        762"
"HATSUN","EQ","23-Nov-2022","        923.75","        923.75","        930.35","        895.65","        903.00","        905.70","        910.21","      18515","            16852561.50","       1944"
"HATSUN","EQ","24-Nov-2022","        905.70","        905.00","        920.00","        903.00","        909.00","        906.60","        908.04","      11869","            10777502.00","       2109"
"HATSUN","EQ","25-Nov-2022","        906.60","        910.00","        920.00","        906.00","        906.25","        908.30","        911.61","       8542","             7786959.25","       1464"
"HATSUN","EQ","28-Nov-2022","        908.30","        912.85","        919.45","        898.00","        900.50","        901.50","        910.50","      21787","            19837146.45","       3502"
"HATSUN","EQ","29-Nov-2022","        901.50","        896.00","        918.00","        896.00","        900.05","        904.20","        909.08","      14219","            12926237.70","       1928"
"HATSUN","EQ","30-Nov-2022","        904.20","        904.20","        914.95","        855.55","        886.70","        887.60","        893.93","      27644","            24711907.50","       2117"
"HATSUN","EQ","01-Dec-2022","        887.60","        904.95","        997.55","        901.65","        953.00","        959.25","        975.68","    1084017","          1057651313.50","      40500"
"HATSUN","EQ","02-Dec-2022","        959.25","        964.00","        964.00","        922.35","        946.00","        945.55","        943.80","     212939","           200972474.20","       9177"
"HATSUN","EQ","05-Dec-2022","        945.55","        946.05","        974.90","        946.05","        963.00","        963.90","        965.04","      81412","            78565731.80","       5719"
"HATSUN","EQ","06-Dec-2022","        963.90","        963.90","        975.00","        956.45","        974.70","        970.60","        967.22","      61787","            59761378.70","       3327"
"HATSUN","EQ","07-Dec-2022","        970.60","        959.00","        959.00","        920.25","        928.90","        927.70","        933.19","      81115","            75696066.55","       5722"
"HATSUN","EQ","08-Dec-2022","        927.70","        938.00","        938.00","        902.50","        911.00","        909.30","        920.15","      33921","            31212441.45","       3135"
"HATSUN","EQ","09-Dec-2022","        909.30","        911.00","        917.85","        888.75","        901.00","        902.85","        904.06","      29052","            26264685.80","       2942"
"HATSUN","EQ","12-Dec-2022","        902.85","        904.80","        918.00","        900.00","        905.75","        909.35","        910.45","      18933","            17237470.70","       2385"
"HATSUN","EQ","13-Dec-2022","        909.35","        909.35","        917.00","        909.35","        915.00","        915.45","        914.31","      10838","             9909291.75","       1163"
"HATSUN","EQ","14-Dec-2022","        915.45","        919.00","        925.00","        909.50","        913.15","        916.30","        916.25","      11237","            10295914.70","       1665"
